id,order_id,product_id,quantity,unit_price
1,1,1,1,129.99
2,1,13,1,44.99
3,2,4,1,279.99
4,2,17,2,49.99
5,3,9,3,24.99
6,3,15,1,29.99
7,4,5,1,89.99
8,4,6,2,54.99
9,5,2,1,49.99
10,5,10,2,14.99
11,6,14,1,54.99
12,6,18,3,29.99
13,7,7,1,70.00
14,7,16,1,49.99
15,8,3,2,39.99
16,8,11,4,34.99
17,9,20,1,139.99
18,9,12,2,19.99
19,10,8,1,69.99
20,10,19,1,79.99
21,11,1,1,119.99
22,11,9,2,24.99
23,12,4,1,299.99
24,12,13,2,44.99
25,13,6,3,54.99
26,13,15,1,27.99
27,14,2,2,49.99
28,14,17,1,49.99
29,15,5,1,89.99
30,15,10,3,14.99
31,16,20,1,129.99
32,16,14,1,54.99
33,17,7,2,75.00
34,17,11,2,34.99
35,18,3,1,39.99
36,18,18,4,29.99
37,19,16,1,49.99
38,19,12,3,19.99
39,20,1,1,129.99
40,20,8,1,69.99
41,21,4,1,299.99
42,21,9,2,24.99
43,22,13,2,44.99
44,22,15,1,29.99
45,23,6,1,54.99
46,23,19,1,75.99
47,24,2,1,49.99
48,24,10,4,13.99
49,25,5,1,85.00
50,25,17,2,49.99
51,26,11,3,34.99
52,26,20,1,139.99
53,27,7,1,75.00
54,27,14,1,49.99
55,28,3,2,39.99
56,28,16,1,49.99
57,29,8,2,69.99
58,29,12,2,19.99
59,30,1,1,129.99
60,30,18,3,28.99
61,31,4,1,299.99
62,31,9,1,24.99
63,32,13,1,44.99
64,32,6,2,54.99
65,33,2,1,49.99
66,33,15,2,29.99
67,34,19,1,79.99
68,34,10,3,14.99
69,35,5,1,89.99
70,35,16,1,49.99
71,36,20,1,139.99
72,36,11,2,34.99
73,37,7,1,75.00
74,37,17,1,49.99
75,38,3,3,37.99
76,38,12,2,19.99
77,39,14,1,54.99
78,39,18,4,29.99
79,40,1,1,129.99
80,40,8,1,69.99
