id,customer_id,order_date,status
1,1,2023-01-20,delivered
2,1,2023-04-15,delivered
3,1,2023-09-10,shipped
4,3,2023-02-05,delivered
5,3,2023-06-18,delivered
6,3,2023-11-22,pending
7,3,2024-03-30,shipped
8,7,2023-03-12,delivered
9,7,2023-08-25,delivered
10,7,2024-01-10,pending
11,12,2023-02-28,delivered
12,12,2023-07-14,delivered
13,12,2023-12-05,shipped
14,12,2024-05-20,pending
15,19,2023-04-22,delivered
16,19,2023-10-08,delivered
17,19,2024-03-15,shipped
18,2,2023-03-01,delivered
19,4,2023-05-17,delivered
20,5,2023-07-28,delivered
21,6,2023-01-30,cancelled
22,8,2023-06-09,delivered
23,9,2023-08-15,delivered
24,10,2023-09-22,shipped
25,11,2023-10-30,delivered
26,13,2023-11-08,delivered
27,14,2023-12-15,pending
28,15,2024-01-25,delivered
29,16,2024-02-10,shipped
30,17,2024-02-28,delivered
31,18,2024-03-20,cancelled
32,20,2024-04-05,delivered
33,21,2024-04-18,shipped
34,22,2024-05-02,pending
35,2,2024-06-10,delivered
36,4,2024-07-05,delivered
37,5,2024-08-20,pending
38,6,2024-09-15,shipped
39,8,2024-10-01,delivered
40,11,2024-12-15,cancelled
